ID,Fecha,Cuenta,NoCuenta,Debe,Haber,Entidad,Compras,Ventas,NoGrupo
0,25/09/2017,Capital social,100,0.0,1500.0,Allison Hill,0.0,0.0,100
1,25/09/2017,BBVA,572,1500.0,0.0,Allison Hill,0.0,0.0,500
2,25/09/2017,Capital social,100,0.0,1500.0,Noah Rhodes,0.0,0.0,100
3,25/09/2017,BBVA,572,1500.0,0.0,Noah Rhodes,0.0,0.0,500
4,25/09/2017,Acreedores por prestaciones de servicios (euros),410,0.0,223.1,Angie Henderson,0.0,0.0,400
5,25/09/2017,"Hacienda Pública, acreedora por retenciones practicadas",475,0.0,30.72,Angie Henderson,0.0,0.0,400
6,25/09/2017,Hacienda Pública. IVA soportado,472,43.01,0.0,Angie Henderson,0.0,0.0,400
7,25/09/2017,Reservas voluntarias,113,6.01,0.0,Angie Henderson,0.0,0.0,100
8,25/09/2017,Reservas voluntarias,113,204.8,0.0,Angie Henderson,0.0,0.0,100
9,29/09/2017,Cash,570,0.0,223.1,Angie Henderson,0.0,0.0,500
10,29/09/2017,Acreedores por prestaciones de servicios (euros),410,223.1,0.0,Angie Henderson,0.0,0.0,400
11,30/09/2017,"Hacienda Pública, acreedora por IVA",475,0.0,22.09,Daniel Wagner,0.0,0.0,400
12,30/09/2017,Hacienda Pública. IVA repercutido,477,65.1,0.0,Cristian Santos,0.0,0.0,400
13,30/09/2017,Hacienda Pública. IVA soportado,472,0.0,43.01,Cristian Santos,0.0,0.0,400
14,30/09/2017,Clientes (euros),430,375.1,0.0,Connie Lawrence,0.0,0.0,400
15,30/09/2017,Hacienda Pública. IVA repercutido,477,0.0,65.1,Connie Lawrence,0.0,0.0,400
16,30/09/2017,Prestaciones de servicios en España,705,0.0,310.0,Connie Lawrence,0.0,310.0,700
17,30/09/2017,Clientes (euros),430,5473.0,0.0,Abigail Shaffer,0.0,0.0,400
18,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,68.0,Abigail Shaffer,0.0,68.0,700
19,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,65.0,Abigail Shaffer,0.0,65.0,700
20,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,35.0,Abigail Shaffer,0.0,35.0,700
21,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,30.0,Abigail Shaffer,0.0,30.0,700
22,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,22.0,Abigail Shaffer,0.0,22.0,700
23,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,70.0,Abigail Shaffer,0.0,70.0,700
24,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,468.0,Abigail Shaffer,0.0,468.0,700
25,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,20.0,Abigail Shaffer,0.0,20.0,700
26,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,1950.0,Abigail Shaffer,0.0,1950.0,700
27,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,23.0,Abigail Shaffer,0.0,23.0,700
28,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,25.0,Abigail Shaffer,0.0,25.0,700
29,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,1900.0,Abigail Shaffer,0.0,1900.0,700
30,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,22.0,Abigail Shaffer,0.0,22.0,700
31,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,60.0,Abigail Shaffer,0.0,60.0,700
32,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,83.0,Abigail Shaffer,0.0,83.0,700
33,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,35.0,Abigail Shaffer,0.0,35.0,700
34,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,35.0,Abigail Shaffer,0.0,35.0,700
35,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,20.0,Abigail Shaffer,0.0,20.0,700
36,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,70.0,Abigail Shaffer,0.0,70.0,700
